,Votes,Vote %,Seats,Seat %
Conservative,"8,113,484",41.3,144,42.0
Liberal,"8,595,488",43.8,169,49.3
NDP,"1,234,673",6.3,7,2.0
Bloc,"1,236,349",6.3,22,6.4
Green,"238,892",1.2,1,0.3
Other,"222,777",1.1,0,0.0
Total,"19,641,663",,343,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
