Electoral district number,Electoral district name,Liberal Name,Liberal Votes,Liberal Vote %,Conservative Name,Conservative Votes,Conservative Vote %,NDP Name,NDP Votes,NDP Vote %,Green Name,Green Votes,Green Vote %,Bloc Name,Bloc Votes,Bloc Vote %,Winner Name,Winner Party
24040,Lévis--Lotbinière,Ghislain Daigle,20549,29.4,Jacques Gourde,33312,47.7,Molly Cornish,1635,2.3,N/A,N/A,N/A,Pierre Julien,13627,19.5,Jacques Gourde,Conservative
35053,London Centre,Peter Fragiskatos,33999,56.7,Stephen Gallant,18633,31.1,Dirka Prout,5790,9.7,Mary Ann Hodge,878,1.5,N/A,N/A,N/A,Peter Fragiskatos,Liberal
35055,London West,Arielle Kayabaga,35309,56.2,Adam Benni,23239,37,Shinade Allder,3463,5.5,Jeff Vanderzwet,427,0.7,N/A,N/A,N/A,Arielle Kayabaga,Liberal
35054,London--Fanshawe,Najam Naqvi,17863,30.5,Kurt Holman,23749,40.6,Lindsay Mathyssen,16135,27.6,N/A,N/A,N/A,N/A,N/A,N/A,Kurt Holman,Conservative
10005,Long Range Mountains,Don Bradshaw,19726,42.7,Carol Anstey,23232,50.3,Sarah Parsons,2011,4.4,N/A,N/A,N/A,N/A,N/A,N/A,Carol Anstey,Conservative
24041,Longueuil--Charles-LeMoyne,Sherry Romanado,25138,49.4,Terry Roberts,8547,16.8,Marie-Andrée Gravel,2832,5.6,N/A,N/A,N/A,Beritan Oerde,13583,26.7,Sherry Romanado,Liberal
24042,Longueuil--Saint-Hubert,Natilien Joseph,24237,41,Martine Boucher,8447,14.3,Nesrine Benhadj,2986,5,N/A,N/A,N/A,Denis Trudel,23468,39.7,Natilien Joseph,Liberal
24043,Louis-Hébert,Joël Lightbound,33512,55.4,Claude Dussault,12164,20.1,Jean-Paul Lussiaà-Berdou,1540,2.5,N/A,N/A,N/A,Valérie Savard,12897,21.3,Joël Lightbound,Liberal
24044,Louis-Saint-Laurent--Akiawenhrahk,Rhode-Malaure Pierre,21693,33,Gérard Deltell,29525,44.9,Colette Ducharme,1607,2.4,N/A,N/A,N/A,Martin Trudel,12465,18.9,Gérard Deltell,Conservative
13005,Madawaska--Restigouche,Guillaume Deschênes-Thériault,22720,55.2,Michel Morin,16320,39.6,Daisy Petersen,1251,3,N/A,N/A,N/A,N/A,N/A,N/A,Guillaume Deschênes-Thériault,Liberal
11004,Malpeque,Heath MacDonald,15485,57.6,Jamie Fox,9846,36.6,Cassie Mackay,371,1.4,Anna Keenan,1049,3.9,N/A,N/A,N/A,Heath MacDonald,Liberal
24045,Marc-Aurèle-Fortin,Carlos Leitão,29928,52,Janina Moran,11923,20.7,Alexandrah Cardona-Fortin,2128,3.7,N/A,N/A,N/A,Claude Tousignant,13584,23.6,Carlos Leitão,Liberal
35056,Markham--Stouffville,Helena Jaczek,31658,51.4,Niran Jeyanesan,27898,45.3,Serena Cheung,1121,1.8,Myles O'Brien,433,0.7,N/A,N/A,N/A,Helena Jaczek,Liberal
35057,Markham--Thornhill,Tim Hodgson,27504,54.5,Lionel Loganathan,21003,41.6,Aftab Qureshi,1022,2,N/A,N/A,N/A,N/A,N/A,N/A,Tim Hodgson,Liberal
35058,Markham--Unionville,Peter Yuen,25133,47.1,Michael Ma,27055,50.7,Sameer Qureshi,723,1.4,Elvin Kao,503,0.9,N/A,N/A,N/A,Michael Ma,Conservative
48030,Medicine Hat--Cardston--Warner,Tom Rooke,9554,17.7,Glen Motz,41518,76.7,Jocelyn Johnson,2588,4.8,Andy Shadrack,440,0.8,N/A,N/A,N/A,Glen Motz,Conservative
24046,Mégantic--L'Érable--Lotbinière,Charles Mckaig,12594,21.5,Luc Berthold,34470,58.8,Gabriel D'Astous,1066,1.8,N/A,N/A,N/A,Réjean Hurteau,9607,16.4,Luc Berthold,Conservative
35059,Middlesex--London,Kent Keenan,29400,42.1,Lianne Rood,36093,51.7,Taylor McIntosh,2888,4.1,Jim Johnston,698,1,N/A,N/A,N/A,Lianne Rood,Conservative
35060,Milton East--Halton Hills South,Kristina Tesser Derksen,32130,48.3,Parm Gill,32101,48.2,Muhammad Riaz Sahi,1034,1.6,Susan Doyle,671,1,N/A,N/A,N/A,Kristina Tesser Derksen,Liberal
24047,Mirabel,Robert Fleming,18796,33.4,Serge Dubord,12544,22.3,Albert Batten,1333,2.4,Mario Guay,792,1.4,Jean-Denis Garon,22494,39.9,Jean-Denis Garon,Bloc
13006,Miramichi--Grand Lake,Lisa Harris,18037,47.1,Mike Dawson,18421,48.2,Josh Floyd,968,2.5,Matthew Ian Clark,831,2.2,N/A,N/A,N/A,Mike Dawson,Conservative
59018,Mission--Matsqui--Abbotsford,Jeff Howe,21838,36.6,Brad Vis,33791,56.7,Jules Côté,2745,4.6,John Kidder,723,1.2,N/A,N/A,N/A,Brad Vis,Conservative
35061,Mississauga Centre,Fares Al Soud,29605,53.9,Muhammad Ishaq,23010,41.9,Brandon Nguyen,1502,2.7,N/A,N/A,N/A,N/A,N/A,N/A,Fares Al Soud,Liberal
35062,Mississauga East--Cooksville,Peter Fonseca,27138,50.2,Nita Kang,24112,44.6,Khawar Hussain,1508,2.8,N/A,N/A,N/A,N/A,N/A,N/A,Peter Fonseca,Liberal
35063,Mississauga--Erin Mills,Iqra Khalid,33448,55.7,Milad Mikael,24000,40,Ehab Mustapha,1311,2.2,Sulaiman Khan,367,0.6,N/A,N/A,N/A,Iqra Khalid,Liberal
35064,Mississauga--Lakeshore,Charles Sousa,34971,52.4,Tom Ellard,29416,44,Evelyn Butler,1254,1.9,Mary Kidnew,587,0.9,N/A,N/A,N/A,Charles Sousa,Liberal
35065,Mississauga--Malton,Iqwinder Singh Gaheer,26793,53.3,Jaspreet Sandhu,21202,42.2,Inderjeetsingh Ailsinghani,1290,2.6,N/A,N/A,N/A,N/A,N/A,N/A,Iqwinder Singh Gaheer,Liberal
35066,Mississauga--Streetsville,Rechie Valdez,31297,51.5,Sue McFadden,27241,44.9,Bushra Asghar,1388,2.3,Chris Hill,439,0.7,N/A,N/A,N/A,Rechie Valdez,Liberal
13007,Moncton--Dieppe,Ginette Petitpas Taylor,30215,63,Jocelyn Dionne,14974,31.2,Serge Landry,1775,3.7,Marshall Dunn,994,2.1,N/A,N/A,N/A,Ginette Petitpas Taylor,Liberal
24049,Mont-Saint-Bruno--L'Acadie,Bienvenu-Olivier Ntumba,32149,47.1,Nicolas Godin,9335,13.7,Mirabelle Leins,1590,2.3,Maria Korpijaakko,833,1.2,Noémie Rouillard,23947,35.1,Bienvenu-Olivier Ntumba,Liberal
24050,Montcalm,Fatima Badran,15769,26.9,Jean-Sébastien Lepage,13589,23.2,Denis Perreault,1893,3.2,N/A,N/A,N/A,Luc Thériault,27268,46.6,Luc Thériault,Bloc
24051,Montmorency--Charlevoix,Alex Ouellet-Bélanger,17101,28.8,Gabriel Hardy,20494,34.5,Gérard Briand,905,1.5,Élie Prud'Homme-Tessier,580,1,Caroline Desbiens,19970,33.6,Gabriel Hardy,Conservative
47004,Moose Jaw--Lake Centre--Lanigan,Tabitha Mukamusoni,7661,16.7,Fraser Tolmie,32991,71.9,Britt Baumann,3458,7.5,Mike Gardiner,411,0.9,N/A,N/A,N/A,Fraser Tolmie,Conservative
24048,Mount Royal,Anthony Housefather,25544,51.1,Neil Oberman,20244,40.5,Adam Frank,2353,4.7,N/A,N/A,N/A,Yegor Komarov,1671,3.3,Anthony Housefather,Liberal
59019,Nanaimo--Ladysmith,Michelle Corfield,20656,27.8,Tamara Kronis,26381,35.5,Lisa Marie Barron,13586,18.3,Paul Manly,13485,18.1,N/A,N/A,N/A,Tamara Kronis,Conservative
35067,Nepean,Mark Carney,46073,63.8,Barbara Bal,24017,33.2,Shyam Shukla,1424,2,Greg Hopkins,462,0.6,N/A,N/A,N/A,Mark Carney,Liberal
35069,New Tecumseth--Gwillimbury,Mike Hanrahan,24444,37,Scot Davidson,39247,59.4,Nancy Morrison,1226,1.9,Callum McKinnon,712,1.1,N/A,N/A,N/A,Scot Davidson,Conservative
59020,New Westminster--Burnaby--Maillardville,Jake Sawatzky,19547,35.1,Indy Panchi,17507,31.4,Peter Julian,17574,31.5,Tara Shushtarian,690,1.2,N/A,N/A,N/A,Jake Sawatzky,Liberal
35068,Newmarket--Aurora,Jennifer McLachlan,29299,47,Sandra Cobena,31540,50.6,Anna Gollen,1473,2.4,N/A,N/A,N/A,N/A,N/A,N/A,Sandra Cobena,Conservative
35070,Niagara Falls--Niagara-on-the-Lake,Andrea Kaiser,27199,44.9,Tony Baldinelli,29774,49.1,Shannon Mitchell,2335,3.9,Celia Taylor,518,0.9,N/A,N/A,N/A,Tony Baldinelli,Conservative
35071,Niagara South,Vance Badawey,33708,43.9,Fred Davies,36702,47.8,Chantal McCollum,4307,5.6,Natashia Bergen,683,0.9,N/A,N/A,N/A,Fred Davies,Conservative
35072,Niagara West,Jennifer Korstanje,30424,43.2,Dean Allison,36418,51.7,Justin Abando,2262,3.2,N/A,N/A,N/A,N/A,N/A,N/A,Dean Allison,Conservative
35073,Nipissing--Timiskaming,Pauline Rochefort,27674,47.2,Garry Keller,26121,44.6,Valerie Kennedy,3548,6.1,Louise Poitras,585,1,N/A,N/A,N/A,Pauline Rochefort,Liberal
59021,North Island--Powell River,Jennifer Lash,21218,26.2,Aaron Gunn,31356,38.7,Tanille Johnston,26357,32.6,Jessica Wegg,1505,1.9,N/A,N/A,N/A,Aaron Gunn,Conservative
59022,North Vancouver--Capilano,Jonathan Wilkinson,37907,59.8,Stephen Curran,21339,33.7,Tammy Bentz,2684,4.2,Andrew Robinson,1076,1.7,N/A,N/A,N/A,Jonathan Wilkinson,Liberal
35074,Northumberland--Clarke,John Goheen,32648,45.9,Philip Lawrence,34862,49,Ava Becker,2090,2.9,Christina Marie Wilson,630,0.9,N/A,N/A,N/A,Philip Lawrence,Conservative
61001,Northwest Territories,Rebecca Alty,8855,53.5,Kimberly Fairman,5513,33.3,Kelvin Kotchilea,2011,12.2,Rainbow Eyes,170,1,N/A,N/A,N/A,Rebecca Alty,Liberal
24052,Notre-Dame-de-Grâce--Westmount,Anna Gainey,34226,64,Neil Drabkin,10517,19.7,Malcolm Lewis-Richmond,3956,7.4,Arnold Downey,1331,2.5,Félix-Antoine Brault,2652,5,Anna Gainey,Liberal
35075,Oakville East,Anita Anand,31128,51.1,Ron Chhinzer,27301,44.8,Hailey Ford,1698,2.8,Bruno Sousa,351,0.6,N/A,N/A,N/A,Anita Anand,Liberal
35076,Oakville West,Sima Acan,31872,53.1,Tim Crowder,26668,44.4,Diane Downey,831,1.4,Chris Kowalchuk,363,0.6,N/A,N/A,N/A,Sima Acan,Liberal
59023,Okanagan Lake West--South Kelowna,Juliette Sicotte,28827,44.2,Dan Albas,33219,50.9,Harpreet Badohal,2189,3.4,Louise Lecouffe,602,0.9,N/A,N/A,N/A,Dan Albas,Conservative
35077,Orléans,Marie-France Lalonde,53146,67.4,Steve Mansour,22072,28,Oulai B. Goué,2063,2.6,Jaycob Jacques,652,0.8,N/A,N/A,N/A,Marie-France Lalonde,Liberal
35078,Oshawa,Isaac Ransom,28653,43,Rhonda Kirkland,32131,48.2,Sara Labelle,5112,7.7,Katherine Mathewson,804,1.2,N/A,N/A,N/A,Rhonda Kirkland,Conservative
35079,Ottawa Centre,Yasir Naqvi,51026,62.7,Paul D'Orsonnens,12692,15.6,Joel Harden,15935,19.6,Amanda Rosenstock,916,1.1,N/A,N/A,N/A,Yasir Naqvi,Liberal
35080,Ottawa South,David McGuinty,43388,65.2,Blair Turner,18010,27.1,Hena Masjedee,4017,6,Nira Dookeran,642,1,N/A,N/A,N/A,David McGuinty,Liberal
35082,Ottawa West--Nepean,Anita Vandenbeld,43555,63.6,Ryan Telford,18517,27.1,Josh Bizjak,4847,7.1,Prashanta Dhakal,780,1.1,N/A,N/A,N/A,Anita Vandenbeld,Liberal
35081,Ottawa--Vanier--Gloucester,Mona Fortier,45934,67.4,Dean Wythe,14633,21.5,Tristan Oliff,5164,7.6,Christian Proulx,1345,2,N/A,N/A,N/A,Mona Fortier,Liberal
24053,Outremont,Rachel Bendayan,26024,55.2,Ronan Reich,5911,12.5,Ève Péclet,5024,10.7,Jonathan Pedneault,4539,9.6,Rémi Lebeuf,5644,12,Rachel Bendayan,Liberal
35083,Oxford,David Hilderley,27311,38.2,Arpan Khanna,38191,53.4,Matthew Chambers,3046,4.3,Cheryle Baker,897,1.3,N/A,N/A,N/A,Arpan Khanna,Conservative
24054,Papineau,Marjorie Michel,24700,53,Julio Rivera,4927,10.6,Niall Ricardo,7606,16.3,N/A,N/A,N/A,Sophy Forget Bélec,7726,16.6,Marjorie Michel,Liberal
48031,Parkland,Ashley Fearnall,12690,17.8,Dane Lloyd,53468,75.2,Keri Goad,2949,4.1,Daniel Birrell,449,0.6,N/A,N/A,N/A,Dane Lloyd,Conservative
35084,Parry Sound--Muskoka,Geordie Sabbagh,27563,42.6,Scott Aitchison,33742,52.2,Heather Hay,2300,3.6,N/A,N/A,N/A,N/A,N/A,N/A,Scott Aitchison,Conservative
48032,Peace River--Westlock,Luke Markowski,6278,11.8,Arnold Viersen,41130,77.1,Landen Tischer,2913,5.5,N/A,N/A,N/A,N/A,N/A,N/A,Arnold Viersen,Conservative
35085,Perth--Wellington,David Mackey,26142,40.8,John Nater,33972,53,Kevin Kruchkywich,2909,4.5,N/A,N/A,N/A,N/A,N/A,N/A,John Nater,Conservative
35086,Peterborough,Emma Harrison,42890,54.3,Michelle Ferreri,32446,41,Heather Ray,2406,3,Jazmine Raine,655,0.8,N/A,N/A,N/A,Emma Harrison,Liberal
35087,Pickering--Brooklin,Juanita Nathan,38578,54.2,Alicia Vianga,29320,41.2,Jamie Nye,1838,2.6,Andrea Wood,535,0.8,N/A,N/A,N/A,Juanita Nathan,Liberal
24055,Pierre-Boucher--Les Patriotes--Verchères,Laurent de Casanove,24217,38.8,Vincent Kunda,7375,11.8,Jean-François Filion,1541,2.5,N/A,N/A,N/A,Xavier Barsalou-Duval,28765,46.1,Xavier Barsalou-Duval,Bloc
24056,Pierrefonds--Dollard,Sameer Zuberi,34326,60.1,Tanya Toledano,17453,30.5,Kakou Richard Kouassi,1613,2.8,N/A,N/A,N/A,Katrina Archambault,3097,5.4,Sameer Zuberi,Liberal
59024,Pitt Meadows--Maple Ridge,Angie Rowell,30728,45.6,Marc Dalton,31924,47.4,Daniel Heydenrych,4141,6.2,N/A,N/A,N/A,N/A,N/A,N/A,Marc Dalton,Conservative
48033,Ponoka--Didsbury,N/A,N/A,N/A,Blaine Calkins,56106,81.8,Logan Hooley,7414,10.8,N/A,N/A,N/A,N/A,N/A,N/A,Blaine Calkins,Conservative
24057,Pontiac--Kitigan Zibi,Sophie Chatel,32088,54.6,Brian Nolan,16221,27.6,Gilbert W. Whiteduck,2971,5.1,Claude Bertrand,749,1.3,Suzanne Proulx,6071,10.3,Sophie Chatel,Liberal
59025,Port Moody--Coquitlam,Zoe Royer,27074,43.5,Paul Lambert,25126,40.4,Bonita Zarrillo,9360,15,Nash Milani,519,0.8,N/A,N/A,N/A,Zoe Royer,Liberal
46005,Portage--Lisgar,Robert Kreis,10493,22.8,Branden Leslie,31889,69.4,Lisa Tessier,2011,4.4,Janine G. Gibson,595,1.3,N/A,N/A,N/A,Branden Leslie,Conservative
24058,Portneuf--Jacques-Cartier,Antonin Leroux,18865,29,Joël Godin,32184,49.6,Félix Couture,1034,1.6,Johann Queffelec,728,1.1,Christian Hébert,11606,17.9,Joël Godin,Conservative
35088,Prescott--Russell--Cumberland,Giovanna Mingarelli,39110,54.8,Julie Séguin,28805,40.3,Ryder Finlay,1730,2.4,Thaila Riden,787,1.1,N/A,N/A,N/A,Giovanna Mingarelli,Liberal
47005,Prince Albert,Christopher Hadubiak,7451,19.2,Randy Hoback,27763,71.5,Virginia Kutzan,3630,9.3,N/A,N/A,N/A,N/A,N/A,N/A,Randy Hoback,Conservative
59026,Prince George--Peace River--Northern Rockies,Peter Njenga,11545,19.6,Bob Zimmer,41956,71.1,Cory Grizz Longley,3542,6,Mary Forbes,1259,2.1,N/A,N/A,N/A,Bob Zimmer,Conservative
46006,Provencher,Trevor Kirczenow,13394,25.9,Ted Falk,34364,66.3,Brandy Schmidt,2398,4.6,Blair Mahaffy,705,1.4,N/A,N/A,N/A,Ted Falk,Conservative
24059,Québec Centre,Jean-Yves Duclos,27880,49.5,N/A,N/A,N/A,Tommy Bureau,4400,7.8,N/A,N/A,N/A,Simon Bérubé,20203,35.9,Jean-Yves Duclos,Liberal
48034,Red Deer,Ayaz Bangash,13564,21.9,Burton Bailey,44239,71.6,Elias Assefa,2375,3.8,Ashley MacDonald,618,1,N/A,N/A,N/A,Burton Bailey,Conservative
47006,Regina--Lewvan,Mac Hird,18893,43,Warren Steinley,21988,50,Ray Aldinger,2573,5.9,Michael Wright,272,0.6,N/A,N/A,N/A,Warren Steinley,Conservative
47007,Regina--Qu'Appelle,Rahima Mian,11391,27,Andrew Scheer,27024,64,Chris Simmie,3388,8,N/A,N/A,N/A,N/A,N/A,N/A,Andrew Scheer,Conservative
47008,Regina--Wascana,Jeffrey Walters,19252,43.7,Michael Kram,22072,50.1,Kaitlyn Stadnyk,2138,4.9,Kimberly Epp,289,0.7,N/A,N/A,N/A,Michael Kram,Conservative
24060,Repentigny,Pierre Richard Thomas,24419,38.8,Charles Champagne,9583,15.2,Nathalie Gagnon,1722,2.7,N/A,N/A,N/A,Patrick Bonin,26593,42.2,Patrick Bonin,Bloc
59027,Richmond Centre--Marpole,Wilson Miao,21232,44.7,Chak Au,23532,49.6,Martin Li,2109,4.4,Michael Sisler,420,0.9,N/A,N/A,N/A,Chak Au,Conservative
59028,Richmond East--Steveston,Parm Bains,25705,48.4,Zach Segal,24605,46.4,Keefer Pelech,2251,4.2,Steven Ji,494,0.9,N/A,N/A,N/A,Parm Bains,Liberal
35089,Richmond Hill South,Majid Jowhari,26009,44.4,Vincent Ho,30615,52.3,Ebrahim Astaraki,1054,1.8,Alison Lam,495,0.8,N/A,N/A,N/A,Vincent Ho,Conservative
24061,Richmond--Arthabaska,Alain Saint-Pierre,20629,33,Eric Lefebvre,22206,35.5,Nataël Bureau,1248,2,N/A,N/A,N/A,Daniel Lebel,17095,27.3,Eric Lefebvre,Conservative
46007,Riding Mountain,Terry Hayward,9281,22.2,Dan Mazier,28409,67.8,Andrew Douglas Maxwell,3072,7.3,Liz Clayton,547,1.3,N/A,N/A,N/A,Dan Mazier,Conservative
24062,Rimouski--La Matapédia,Alexander Reford,19201,35.5,Nancy Joannette,7324,13.6,Salomé Salvain,974,1.8,N/A,N/A,N/A,Maxime Blanchette-Joncas,24947,46.2,Maxime Blanchette-Joncas,Bloc
24063,Rivière-des-Mille-Îles,Linda Lapointe,27326,45.6,Elia Lopez,10398,17.4,Joseph Hakizimana,1270,2.1,Alec Ware,734,1.2,Luc Desilets,19669,32.8,Linda Lapointe,Liberal
24064,Rivière-du-Nord,Mary-Helen Walton,18345,31.6,Patricia Morrissette,12203,21,Christel Marchand,2032,3.5,N/A,N/A,N/A,Rhéal Fortin,25438,43.8,Rhéal Fortin,Bloc
24065,Rosemont--La Petite-Patrie,Jean-Sébastien Vallée,18757,31.6,Laetitia Tchatat,4073,6.9,Alexandre Boulerice,24358,41,Benoît Morham,1368,2.3,Olivier Gignac,10864,18.3,Alexandre Boulerice,NDP
59029,Saanich--Gulf Islands,David Beckham,25409,31.8,Cathie Ounsted,20015,25.1,Colin Plant,3163,4,Elizabeth May,31199,39.1,N/A,N/A,N/A,Elizabeth May,Green
12009,Sackville--Bedford--Preston,Braedon Clark,36062,62,Dave Carroll,18860,32.4,Isaac Wilson,2324,4,Andre Anderson,526,0.9,N/A,N/A,N/A,Braedon Clark,Liberal
13008,Saint John--Kennebecasis,Wayne Long,26129,58.1,Melissa Young,16787,37.3,Armand Cormier,1206,2.7,David MacFarquhar,737,1.6,N/A,N/A,N/A,Wayne Long,Liberal
13009,Saint John--St. Croix,Karen Ludwig,20784,41.5,John Williamson,26591,53.1,Andrew Hill,1643,3.3,Gerald Irish,794,1.6,N/A,N/A,N/A,John Williamson,Conservative
24066,Saint-Hyacinthe--Bagot--Acton,Mélanie Bédard,19504,33.6,Gaëtan Deschênes,10431,18,Raymonde Plamondon,1373,2.4,Martin Grenier,800,1.4,Simon-Pierre Savard-Tremblay,25447,43.9,Simon-Pierre Savard-Tremblay,Bloc
24067,Saint-Jean,Patrick Agbokou,21999,34.3,Marie Louis-Seize,10480,16.3,Danielle Dubuc,1650,2.6,Vincent Piette,988,1.5,Christine Normandin,28474,44.3,Christine Normandin,Bloc
24068,Saint-Laurent,Emmanuella Lambropoulos,26021,58.9,Richard Serour,12477,28.2,Ryan Byrne,1985,4.5,Richard Chambers,693,1.6,Marielle Gendron,2523,5.7,Emmanuella Lambropoulos,Liberal
24069,Saint-Léonard--Saint-Michel,Patricia Lattanzio,26833,65.3,Panagiota Koroneos,8457,20.6,Marwan El Attar,2450,6,N/A,N/A,N/A,Laurie Lelacheur,2938,7.2,Patricia Lattanzio,Liberal
24070,Saint-Maurice--Champlain,François-Philippe Champagne,31095,50,Pierre-Augustin Allard,15321,24.6,Nathalie Garceau,1224,2,Marie-Claude Gaudet,704,1.1,Thierry Bilodeau,13190,21.2,François-Philippe Champagne,Liberal
35090,Sarnia--Lambton--Bkejwanong,George Vandenberg,28940,37.9,Marilyn Gladu,40597,53.1,Lo-Anne Chan,4088,5.4,N/A,N/A,N/A,N/A,N/A,N/A,Marilyn Gladu,Conservative
47009,Saskatoon South,Rokhan Sarwar,20107,40.4,Kevin Waugh,24516,49.3,Jacob Gadzella,4515,9.1,Hamish Graham,310,0.6,N/A,N/A,N/A,Kevin Waugh,Conservative
47011,Saskatoon West,Chad Eggerman,10254,27.2,Brad Redekopp,19814,52.7,Rachel Loewen Walker,7187,19.1,Naomi Hunter,376,1,N/A,N/A,N/A,Brad Redekopp,Conservative
47010,Saskatoon--University,Greg Poelzer,19622,41.4,Corey Tochor,23178,48.9,Melissa McGillivray,4035,8.5,Isaiah Hunter,263,0.6,N/A,N/A,N/A,Corey Tochor,Conservative
35091,Sault Ste. Marie--Algoma,Terry Sheehan,30936,47.4,Hugh Stevenson,29208,44.7,Laura Mayer,4327,6.6,Robyn Kiki Eshkibok,541,0.8,N/A,N/A,N/A,Terry Sheehan,Liberal
35093,Scarborough Centre--Don Valley East,Salma Zahid,27557,57.3,Belent Mathew,18307,38.1,Alyson Koa,1565,3.3,N/A,N/A,N/A,N/A,N/A,N/A,Salma Zahid,Liberal
35095,Scarborough North,Shaun Chen,29418,63,Gurmit Sandhu,15487,33.1,Karishma Manji,1827,3.9,N/A,N/A,N/A,N/A,N/A,N/A,Shaun Chen,Liberal
35096,Scarborough Southwest,Bill Blair,33495,61.5,Asm Tarun,16652,30.6,Fatima Shaban,2730,5,Amanda Cain,754,1.4,N/A,N/A,N/A,Bill Blair,Liberal
35092,Scarborough--Agincourt,Jean Yip,27552,54.3,Aris Movsessian,21732,42.8,Dan Lovell,1449,2.9,N/A,N/A,N/A,N/A,N/A,N/A,Jean Yip,Liberal
35094,Scarborough--Guildwood--Rouge Park,Gary Anandasangaree,35295,64,Suchita Jalan,17485,31.7,Kingsley Kwok,1772,3.2,Troy Rife,633,1.1,N/A,N/A,N/A,Gary Anandasangaree,Liberal
35097,Scarborough--Woburn,Michael Coteau,25281,60.4,Reddy Muttukuru,14291,34.1,George Wedge,1466,3.5,Gianne Broughton,499,1.2,N/A,N/A,N/A,Michael Coteau,Liberal
46009,Selkirk--Interlake--Eastman,Rhonda Nichol,16570,30.4,James Bezan,32788,60.2,Josef Estabrooks,3535,6.5,Wayne James,709,1.3,N/A,N/A,N/A,James Bezan,Conservative
24071,Shefford,Felix Dionne,26155,39.3,James Seale,11404,17.1,Patrick Jasmin,1557,2.3,N/A,N/A,N/A,Andréanne Larouche,26726,40.1,Andréanne Larouche,Bloc
24072,Sherbrooke,Élisabeth Brière,31249,51.3,Esteban Méndez-Hord,7983,13.1,Jean-Pierre Fortier,3516,5.8,Kevin McKenna,1383,2.3,Pierre-Étienne Rouillard,16224,26.6,Élisabeth Brière,Liberal
48035,Sherwood Park--Fort Saskatchewan,Tanya Holm,22178,27.2,Garnett Genuis,54131,66.3,Chris Jones,4136,5.1,Randall Emmons,448,0.5,N/A,N/A,N/A,Garnett Genuis,Conservative
35099,Simcoe North,Ryan Rocca,29767,44.7,Adam Chambers,32241,48.4,Melissa Lloyd,2508,3.8,Ray Little,1260,1.9,N/A,N/A,N/A,Adam Chambers,Conservative
35098,Simcoe--Grey,Bren Munro,29455,43.4,Terry Dowdall,35364,52.1,Jasleen Bains,1574,2.3,Allan Kuhn,991,1.5,N/A,N/A,N/A,Terry Dowdall,Conservative
59030,Similkameen--South Okanagan--West Kootenay,Gloria Morgan,25431,37.3,Helena Konanz,30054,44.1,Linda Sankey,11033,16.2,Philip Mansfield,1044,1.5,N/A,N/A,N/A,Helena Konanz,Conservative
59031,Skeena--Bulkley Valley,Inderpal Dhillon,4923,11,Ellis Ross,21202,47.2,Taylor Bachrach,17677,39.3,Adeana Young,528,1.2,N/A,N/A,N/A,Ellis Ross,Conservative
47012,Souris--Moose Mountain,Aziz Mian,4051,9.8,Steven Bonk,34793,84,Sheena Muirhead Koops,1888,4.6,Remi Rheault,235,0.6,N/A,N/A,N/A,Steven Bonk,Conservative
12010,South Shore--St. Margarets,Jessica Fancy-Landry,27831,54.9,Rick Perkins,20864,41.1,N/A,N/A,N/A,Mark Embrett,818,1.6,N/A,N/A,N/A,Jessica Fancy-Landry,Liberal
59032,South Surrey--White Rock,Ernie Klassen,33094,50.5,Kerry-Lynne Findlay,29924,45.7,Jureun Park,1634,2.5,Christine Kinnie,875,1.3,N/A,N/A,N/A,Ernie Klassen,Liberal
35100,Spadina--Harbourfront,Chi Nguyen,31832,60.1,Diana Filipova,16286,30.7,Norm Di Pasquale,4107,7.8,Gordon Rand,448,0.8,N/A,N/A,N/A,Chi Nguyen,Liberal
48036,St. Albert--Sturgeon River,Lucia Stachurski,22977,29.9,Michael Cooper,49216,63.9,Dorothy Anderson,3684,4.8,N/A,N/A,N/A,N/A,N/A,N/A,Michael Cooper,Conservative
46008,St. Boniface--St. Vital,Ginette Lavack,32599,59.8,Shola Agboola,17625,32.3,Thomas Linner,3773,6.9,N/A,N/A,N/A,N/A,N/A,N/A,Ginette Lavack,Liberal
35101,St. Catharines,Chris Bittle,34750,52,Bas Sluijmers,27013,40.4,Karen Orlandi,4021,6,N/A,N/A,N/A,N/A,N/A,N/A,Chris Bittle,Liberal
10006,St. John's East,Joanne Thompson,28681,62.3,David Brazil,11941,25.9,Mary Shortall,5172,11.2,Otis Crandell,159,0.3,N/A,N/A,N/A,Joanne Thompson,Liberal
35102,Stormont--Dundas--Glengarry,Sarah Good,26407,39.8,Eric Duncan,37399,56.3,Mario Leclerc,1653,2.5,Gordon Kubanek,674,1,N/A,N/A,N/A,Eric Duncan,Conservative
35103,Sudbury,Viviane Lapointe,31551,51.9,Ian Symington,23835,39.2,Nadia Verrelli,4680,7.7,N/A,N/A,N/A,N/A,N/A,N/A,Viviane Lapointe,Liberal
35104,Sudbury East--Manitoulin--Nickel Belt,Marc G. Serré,25075,41.6,Jim Belanger,29156,48.3,Andréane Chénier,4822,8,Himal Hossain,465,0.8,N/A,N/A,N/A,Jim Belanger,Conservative
59033,Surrey Centre,Randeep Sarai,19900,48,Rajvir Dhillon,17920,43.2,Dominic Denofrio,2811,6.8,Krishan Khurana,395,1,N/A,N/A,N/A,Randeep Sarai,Liberal
