Electoral district number,Electoral district name,Liberal Name,Liberal Votes,Liberal Vote %,Conservative Name,Conservative Votes,Conservative Vote %,NDP Name,NDP Votes,NDP Vote %,Green Name,Green Votes,Green Vote %,Bloc Name,Bloc Votes,Bloc Vote %,Winner Name,Winner Party
24018,Chicoutimi--Le Fjord,Stéphane Proulx,15820,31.1,Richard Martel,17356,34.1,Raphaël Émond,991,1.9,Yves Laporte,476,0.9,Marc St-Hilaire,15857,31.2,Richard Martel,Conservative
59005,Chilliwack--Hope,Zeeshan Khan,23254,35.4,Mark Strahl,36027,54.8,Teri Westerby,4779,7.3,Salina Derish,1083,1.6,N/A,N/A,N/A,Mark Strahl,Conservative
46002,Churchill--Keewatinook Aski,Rebecca Chartrand,9313,45.5,Lachlan De Nardi,4927,24.1,Niki Ashton,5880,28.7,N/A,N/A,N/A,N/A,N/A,N/A,Rebecca Chartrand,Liberal
59006,Cloverdale--Langley City,Kyle Latchford,24828,46.4,Tamara Jansen,25606,47.8,Vanessa Sharma,2350,4.4,Kevin Daniel Wilkie,493,0.9,N/A,N/A,N/A,Tamara Jansen,Conservative
59007,Columbia--Kootenay--Southern Rockies,Reggie Goldsbury,20184,28.2,Rob Morrison,36081,50.4,Kallee Lins,12871,18,Steven Maffioli,1064,1.5,N/A,N/A,N/A,Rob Morrison,Conservative
24019,Compton--Stanstead,Marianne Dandurand,29951,45.6,Jacques Painchaud,14292,21.8,Valérie Laliberté,2124,3.2,Sébastien Tremblay,1161,1.8,Nathalie Bresse,17305,26.4,Marianne Dandurand,Liberal
59008,Coquitlam--Port Coquitlam,Ron McKinnon,27250,47.4,Iain Black,24730,43,Laura Dupont,4253,7.4,Michael Peter Glenister,504,0.9,N/A,N/A,N/A,Ron McKinnon,Liberal
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Rémi Massé,19097,30.3,Bernard Généreux,28873,45.8,Iseult L'Heureux Hubert,1072,1.7,Alexie Plourde,682,1.1,Diane Sénécal,12598,20,Bernard Généreux,Conservative
24021,Côte-Nord--Kawawachikamach--Nitassinan,Kevin Coutu,10185,27.4,Mélanie Dorion,9365,25.2,Marika Lalime,640,1.7,N/A,N/A,N/A,Marilène Gill,16243,43.7,Marilène Gill,Bloc
59009,Courtenay--Alberni,Brian Cameron,18078,22.7,Kris McNichol,28028,35.1,Gord Johns,31617,39.6,Chris Markevich,1352,1.7,N/A,N/A,N/A,Gord Johns,NDP
59010,Cowichan--Malahat--Langford,Blair Herbert,21478,28.2,Jeff Kibble,28370,37.2,Alistair MacGregor,24826,32.6,Kathleen Code,1500,2,N/A,N/A,N/A,Jeff Kibble,Conservative
12004,Cumberland--Colchester,Alana Hirtle,23929,48.3,Stephen Ellis,22701,45.8,Larry Duchesne,1873,3.8,Kelly-Ann Callaghan,694,1.4,N/A,N/A,N/A,Alana Hirtle,Liberal
12005,Dartmouth--Cole Harbour,Darren Fisher,40367,67.7,Isabelle Obeid,13557,22.7,Keith Morrison,4201,7,Rana Zaman,628,1.1,N/A,N/A,N/A,Darren Fisher,Liberal
35022,Davenport,Julie Dzerowicz,35364,57.8,Francis Lavoie,14189,23.2,Sandra Sousa,10452,17.1,Lilian Barrera,782,1.3,N/A,N/A,N/A,Julie Dzerowicz,Liberal
59011,Delta,Jill McKnight,32802,51.8,Jessy Sahota,27314,43.2,Jason McCormick,2787,4.4,N/A,N/A,N/A,N/A,N/A,N/A,Jill McKnight,Liberal
47003,Desnethé--Missinippi--Churchill River,Buckley Belanger,5876,65.1,Jim Lemaigre,2301,25.5,Doug Racine,850,9.4,N/A,N/A,N/A,N/A,N/A,N/A,Buckley Belanger,Liberal
35023,Don Valley North,Maggie Chi,25822,53.2,Joe Tay,20546,42.3,Naila Saeed,1191,2.5,Andrew Armstrong,448,0.9,N/A,N/A,N/A,Maggie Chi,Liberal
35024,Don Valley West,Rob Oliphant,36744,62.6,Robert Pierce,19480,33.2,Linnea Löfström-Abary,1382,2.4,Sheena Sharp,616,1.1,N/A,N/A,N/A,Rob Oliphant,Liberal
24022,Dorval--Lachine--LaSalle,Anju Dhillon,29927,59.4,Alioune Sarr,10428,20.7,Angélique Soleil Lavoie,2104,4.2,Amir Badr Eldeen,823,1.6,Pauline Fleur Julie Postel,6338,12.6,Anju Dhillon,Liberal
24023,Drummond,Ghada Jerbi,15998,28.4,François Fréchette,12790,22.7,François Choquette,2607,4.6,N/A,N/A,N/A,Martin Champoux,24071,42.8,Martin Champoux,Bloc
35025,Dufferin--Caledon,Malalai Halimi,24818,35.2,Kyle Seeback,42458,60.1,Viktor Karklins,1380,2,Ifra Baig,927,1.3,N/A,N/A,N/A,Kyle Seeback,Conservative
48015,Edmonton Centre,Eleanor Olszewski,24138,44.3,Sayid Ahmed,20626,37.9,Trisha Estabrooks,8440,15.5,N/A,N/A,N/A,N/A,N/A,N/A,Eleanor Olszewski,Liberal
48016,Edmonton Gateway,Jeremy Hoefsloot,19435,37.3,Tim Uppal,26385,50.6,Madeline Mayes,2565,4.9,N/A,N/A,N/A,N/A,N/A,N/A,Tim Uppal,Conservative
48017,Edmonton Griesbach,Patrick Lennox,8973,18.3,Kerry Diotte,22256,45.5,Blake Desjarlais,16717,34.1,Michael Hunter,302,0.6,N/A,N/A,N/A,Kerry Diotte,Conservative
48018,Edmonton Manning,Blair-Marie Coles,17603,35.3,Ziad Aboultaif,26445,53.1,Lesley Thompson,4935,9.9,N/A,N/A,N/A,N/A,N/A,N/A,Ziad Aboultaif,Conservative
48019,Edmonton Northwest,Lindsey Machona,20907,38.3,Billy Morin,29194,53.4,Omar Abubakar,3597,6.6,Colleen Rice,335,0.6,N/A,N/A,N/A,Billy Morin,Conservative
48020,Edmonton Riverbend,Mark Minenko,27075,44.8,Matt Jeneroux,30343,50.2,Susan Cake,2563,4.2,N/A,N/A,N/A,N/A,N/A,N/A,Matt Jeneroux,Conservative
48021,Edmonton Southeast,Amarjeet Sohi,18481,38.8,Jagsharan Singh Mahal,25206,52.9,Harpreet Grewal,2536,5.3,N/A,N/A,N/A,N/A,N/A,N/A,Jagsharan Singh Mahal,Conservative
48022,Edmonton Strathcona,Ron Thiering,10709,17.9,Miles Berry,19768,33.1,Heather McPherson,28027,47,Atul Deshmukh,366,0.6,N/A,N/A,N/A,Heather McPherson,NDP
48023,Edmonton West,Brad Fournier,23995,40.7,Kelly McCauley,31201,52.9,Sean McQuillan,3164,5.4,N/A,N/A,N/A,N/A,N/A,N/A,Kelly McCauley,Conservative
35026,Eglinton--Lawrence,Vince Gasparro,29949,49.3,Karen Stintz,29061,47.8,Allison Tanzola,996,1.6,Wayne Chechuevskiy,429,0.7,N/A,N/A,N/A,Vince Gasparro,Liberal
11003,Egmont,Bobby Morrissey,12466,51.9,Logan McLellan,10419,43.4,Carol Rybinski,585,2.4,Ranald MacFarlane,538,2.2,N/A,N/A,N/A,Bobby Morrissey,Liberal
35027,Elgin--St. Thomas--London South,David Goodwin,28010,43.1,Andrew Lawton,32565,50.1,Paul Pighin,3118,4.8,N/A,N/A,N/A,N/A,N/A,N/A,Andrew Lawton,Conservative
